feature,mean_abs_shap
stress_temp_interaction,0.48004824671695057
test_temp_k,0.17135344749676323
test_temp_c,0.16507989302716666
refractory_temp_interaction,0.16259731743992262
avg_atomic_radius_pm,0.07000240553946863
test_temp_fraction_of_solution,0.06146423009138692
gamma_prime_formers_total,0.031547380597669136
gamma_prime_aging_interaction,0.02351187765427447
atomic_radius_mismatch,0.017639027423729105
stress_mpa,0.016876811592846038
refractory_total,0.013881391234451788
Ta,0.010096665313708574
mixing_entropy_r,0.00950886297171482
avg_electronegativity,0.007401494923750351
estimated_cost_index,0.006527331257415629
ta_w_ratio,0.006346423447748657
electronegativity_mismatch,0.005860816938143399
cr_al_ratio,0.005017191561484675
Hf,0.004899857448898456
Nb,0.004345561487467183
Al,0.0034645358273464343
Cr,0.0029230627720706714
avg_atomic_weight,0.002394799670516933
Ni,0.002322657515347646
Ti,0.0022105948147484924
aging_parameter,0.0020413804200233696
al_ti_ratio,0.0019865465866775144
W,0.001970104779443681
Re,0.0018814467735005572
solution_parameter,0.001802576393491199
oxidation_resistance_total,0.0017617104521754296
temp_gap_solution_aging,0.0016887153837594276
solution_time_log,0.001520513109949501
solution_temp_c,0.001474424824977928
solution_temp_k,0.001466093341146461
Mo,0.001384725193283815
cooling_rate_c_s,0.0013023726166474263
estimated_density_g_cm3,0.0012756412883416493
Co,0.0012152526808630682
aging_temp_c,0.0011546336900864383
aging_temp_k,0.0010598197363853158
solution_time_h,0.0010501525449147947
co_ni_ratio,0.0010136110668617223
C,0.0009231618000045263
cr_oxidation_temp_interaction,0.0009132759712236975
B,0.0009060166935511916
cooling_rate_log,0.0009019823494753832
aging_time_h,0.000886644428394857
aging_time_log,0.0008463683526448226
composition_sum,0.00036309482116894285
