model_name,task,scoring,cv_mean,cv_std,cv_mean_positive,cv_std_positive
lasso,regression,neg_root_mean_squared_error,-0.25170243794764585,0.005059004266785676,0.25170243794764585,0.005059004266785676
elasticnet,regression,neg_root_mean_squared_error,-0.25210781656892867,0.004845372601771531,0.25210781656892867,0.004845372601771531
ridge,regression,neg_root_mean_squared_error,-0.25287805562303356,0.004581028498016273,0.25287805562303356,0.004581028498016273
linear_regression,regression,neg_root_mean_squared_error,-0.2535012734594703,0.0052642651967405975,0.2535012734594703,0.0052642651967405975
gradient_boosting_regressor,regression,neg_root_mean_squared_error,-0.290340679891729,0.013388100634534151,0.290340679891729,0.013388100634534151
extra_trees_regressor,regression,neg_root_mean_squared_error,-0.30986244536023216,0.011820064217494571,0.30986244536023216,0.011820064217494571
random_forest_regressor,regression,neg_root_mean_squared_error,-0.3282762777206491,0.018493227576841003,0.3282762777206491,0.018493227576841003
svr,regression,neg_root_mean_squared_error,-0.3688462106617566,0.017749976193655093,0.3688462106617566,0.017749976193655093
decision_tree_regressor,regression,neg_root_mean_squared_error,-0.48210913536608696,0.025244813970427913,0.48210913536608696,0.025244813970427913
knn_regressor,regression,neg_root_mean_squared_error,-0.5331954397262122,0.012498131698663274,0.5331954397262122,0.012498131698663274
